Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DMW;Eigner;Bemerkung;geopos;lod
WWAL;Winterthur Wallrüti;2016-01-01;1200;1400.0;SBB;Aus erhebungstechnischen Gründen sind sowohl die Aussagekraft der Angabe 2014 als auch diejenige der Angabe 2016 eingeschränkt und somit ein Vergleich der beiden Angaben nicht sinnvoll.;47.516719, 8.76086862997;http://lod.opentransportdata.swiss/didok/8506038
WO;Wohlen;2016-01-01;5300;6400.0;SBB;Ohne BDWM.;47.3484618374, 8.26978121872;http://lod.opentransportdata.swiss/didok/8502213
WGR;Winterthur Grüze;2016-01-01;1800;2200.0;SBB;;47.4987506397, 8.75103748096;http://lod.opentransportdata.swiss/didok/8506001
WTOE;Winterthur Töss;2016-01-01;620;710.0;SBB;;47.4898075094, 8.70929159585;http://lod.opentransportdata.swiss/didok/8506044
WZ;Wetzikon;2016-01-01;23600;27700.0;SBB;;47.3180331432, 8.79226951209;http://lod.opentransportdata.swiss/didok/8503123
WL;Wald;2016-01-01;790;870.0;SBB;;47.2726849167, 8.91398907071;http://lod.opentransportdata.swiss/didok/8503138
FT;Feuerthalen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6921636376, 8.64595208918;http://lod.opentransportdata.swiss/didok/8503425
FF;Frauenfeld;2016-01-01;12600;14200.0;SBB;Inklusive FW.;47.5581599749, 8.89653893491;http://lod.opentransportdata.swiss/didok/8506100
EW;Etzwilen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6611436806, 8.81859374588;http://lod.opentransportdata.swiss/didok/8506025
FEL;Felben-Wellhausen;2016-01-01;480;560.0;SBB;;47.5771019005, 8.94316091804;http://lod.opentransportdata.swiss/didok/8506101
ESB;Eschenbach;2016-01-01;810;930.0;SBB;;47.1323911487, 8.32277893852;http://lod.opentransportdata.swiss/didok/8502022
ZZ;Bad Zurzach;2016-01-01;1300;1500.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5883101087, 8.29556465398;http://lod.opentransportdata.swiss/didok/8503409
AA;Aarau;2016-01-01;38000;44400.0;SBB;Ohne WSB.;47.3913553369, 8.05125354274;http://lod.opentransportdata.swiss/didok/8502113
BN;Bern;2016-01-01;188100;210000.0;SBB;Ohne RBS.;46.948824497, 7.43911900576;http://lod.opentransportdata.swiss/didok/8507000
BAAN;Baar Neufeld;2016-01-01;820;1100.0;SBB;;47.1884876743, 8.51775897551;http://lod.opentransportdata.swiss/didok/8515992
BGL;Bürglen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5491005107, 9.14985544325;http://lod.opentransportdata.swiss/didok/8506106
BIBD;Biel/Bienne Bözingenfeld/Champ;2016-01-01;410;550.0;SBB;;47.1583882845, 7.29458712956;http://lod.opentransportdata.swiss/didok/8518771
BOS;Boswil-Bünzen;2016-01-01;730;850.0;SBB;;47.305174603, 8.31527271204;http://lod.opentransportdata.swiss/didok/8502214
BURN;Buchrain;2016-01-01;1300;1600.0;SBB;;47.0936431378, 8.35663714452;http://lod.opentransportdata.swiss/didok/8516350
